"BenchName","CodeletName","RDTSC.Runtime..s.","call.count","INSTR_RETIRED_ANY","CPU_CLK_UNHALTED_CORE","CPU_CLK_UNHALTED_REF","FP_COMP_OPS_EXE_SSE_FP_PACKED","FP_COMP_OPS_EXE_SSE_FP_SCALAR","FP_COMP_OPS_EXE_SSE_SINGLE_PRECISION","FP_COMP_OPS_EXE_SSE_DOUBLE_PRECISION","Runtime..RDTSC...s.","Runtime.unhalted..s.","Clock..MHz.","CPI","SP.MFlops.s..SP.assumed.","Packed.MUOPS.s","Scalar.MUOPS.s","SP.MUOPS.s","DP.MUOPS.s","UNC_L3_HITS_ANY","UNC_L3_MISS_ANY","UNC_L3_LINES_IN_ANY","UNC_L3_LINES_OUT_ANY","L3.request.rate","L3.miss.rate","L3.miss.ratio","L2_LINES_IN_ANY","L2_LINES_OUT_DEMAND_DIRTY","L3.Load..MBytes.s.","L3.Evict..MBytes.s.","L3.bandwidth..MBytes.s.","L3.data.volume..GBytes.","INST_RETIRED_X87","X87.MFlops.s","L1D_REPL","L1D_M_EVICT","L2.Load..MBytes.s.","L2.Evict..MBytes.s.","L2.bandwidth..MBytes.s.","L2.data.volume..GBytes.","UNC_QMC_NORMAL_READS_ANY","UNC_QMC_WRITES_FULL_ANY","UNC_QHL_REQUESTS_REMOTE_READS","UNC_QHL_REQUESTS_LOCAL_READS","UNC_QHL_REQUESTS_REMOTE_WRITES","Memory.bandwidth..MBytes.s.","Memory.data.volume..GBytes.","Remote.Read.BW..MBytes.s.","Remote.Write.BW..MBytes.s.","Remote.BW..MBytes.s.","DP.MFlops.s","MEM_INST_RETIRED_LOADS","MEM_INST_RETIRED_STORES","Load.to.Store.ratio","DP.MFlops.s..DP.assumed.","Data.cache.misses","Data.cache.miss.rate","BR_INST_RETIRED_ALL_BRANCHES","BR_MISP_RETIRED_ALL_BRANCHES","Branch.rate","Branch.misprediction.rate","Branch.misprediction.ratio","Instructions.per.branch","L2_DATA_RQSTS_DEMAND_ANY","L2_RQSTS_MISS","L2.request.rate","L2.miss.rate","L2.miss.ratio","DTLB_MISSES_ANY","L1.DTLB.miss.rate","Function.name","Address.in.the.binary","Source.file","Source.lines","ID","Can.be.analyzed","Nb.paths","Is.main.unrolled","Unroll.factor","Unroll.confidence.level","Nb.instr.","Nb.uops","Size..bytes.","Nb.used.x86.reg.","Nb.used.MMX.reg.","Nb.used.XMM.reg.","Nb.used.YMM.reg.","Nb.stack.ref.","Pattern","Nb.insn..SS","Nb.insn..SD","Nb.insn..PS.XMM","Nb.insn..PS.YMM","Nb.insn..PD.XMM","Nb.insn..PD.YMM","Ratio.ADD.SUB...MUL","Fit.in.cache","Macro.fusion","Nb.FLOP..add.sub","Nb.FLOP..mul","Nb.FLOP..div","Nb.FLOP..other","Bytes.loaded","Bytes.stored","Arith..intensity..FLOP...ld.st.bytes.","instr..fetch..cycles.","predecode..cycles.","instr..queue..cycles.","decode..cycles.","uop.queue..cycles.","ROB.read..cycles.","Front.end..cycles.","Nb.uops.P0","Nb.uops.P1","Nb.uops.P2","Nb.uops.P3","Nb.uops.P4","Nb.uops.P5","Nb.cycles.P0","Nb.cycles.P1","Nb.cycles.P2","Nb.cycles.P3","Nb.cycles.P4","Nb.cycles.P5","Dispatch..cycles.","RecMII..cycles.","Vec..ratio......all..INT.","Vec..ratio......load..INT.","Vec..ratio......store..INT.","Vec..ratio......add.sub..INT.","Vec..ratio......mul..INT.","Vec..ratio......other..INT.","Vec..ratio......all..FP.","Vec..ratio......load..FP.","Vec..ratio......store..FP.","Vec..ratio......add.sub..FP.","Vec..ratio......mul..FP.","Vec..ratio......other..FP.","Vec..ratio......all","Vec..ratio......load","Vec..ratio......store","Vec..ratio......add.sub","Vec..ratio......mul","Vec..ratio......other","X.L1..Nb.cycles","X.L1..FLOP.cycle","X.L1..IPC","X.L1..Bytes.loaded...cycle","X.L1..Bytes.stored...cycle","X.L1..Bytes.ld.st...cycle","X.L1..Nb.cycles.if.fully.vectorized"
"ft","codelet_04wki9m9",6.20972,20,6054400000,11704278244,11537600000,672213000,201,20,672214000,6.20972,6.19666,1861.91,1.90565,432.8975,108.343,"3.24418e-05","3.22348e-06",108.343,377445000,423518000,423518000,423518000,0.0623422,0.0699522,1.12207,418754000,95246300,4310.3,980.387,5290.69,32.896,1020,0.000164286,421162000,336111000,4339.9,3463.48,7803.38,48.4654,423744500,337670500,0,423726500,0,7841.835,48.7306,0,0,0,216.687,1342230000,1342220000,1.00001,215.904,421162000,0.0695631,673731000,1319320,0.11128,0.000217912,0.00195824,8.98637,712397000,519806000,0.117666,0.085856,0.729658,9730370,0.00160716,"evolve_","403c3e","/NPB3.0-SER/FT/auxfnct.f","168-171",15,"true",1,"true","1 or NA","max",9,8,37,6,0,2,0,0,"PD-XMM,FP-XMM,x86,PS-XMM","NA","NA",3,"NA",1,"NA","NA",2,"true",0,2,0,0,24,32,0.0357142857,"NA","NA","NA","NA",2,2,2,1.3333333333,1.3333333333,2,2,2,1.3333333333,1.3333333333,1.3333333333,2,2,2,1.3333333333,2,2,"NA","NA","NA","NA","NA","NA",100,100,100,"NA",100,"NA",100,100,100,"NA",100,"NA",2,1,4.5,12,16,28,"NA"
"sp","codelet_0612t675",8.37283,402,10581100000,15481711308,15488600000,3772880000,59743000,402,3832620000,8.37283,8.31861,1861.9,1.4638,1799.965,448.235,7.09773,"4.77594e-05",455.333,418742000,653746000,653746000,653746000,0.0395746,0.0617845,1.56122,649585000,82977500,4958.22,633.359,5591.57,46.884,20502,0.00244919,653701500,377045000,4996.69,2882.05,7878.74,65.9673,653013500,371800500,0,653779000,0,7830.935,65.5881,0,0,0,912.925,3875410000,1551980000,2.49707,903.568,653708000,0.061781,240785000,10889800,0.0227562,0.00102918,0.0452264,43.944,983111000,769443000,0.0929123,0.0727189,0.782662,13605200,0.00128581,"compute_rhs_","40a534","/NPB3.0-SER/SP/rhs.f","23-38",147,"true",1,"true",2,"high",48,55,299,12,0,13,0,0,"PS-XMM,SD,x86,PD-XMM","NA",8,10,"NA",24,"NA",0.2727272727,1,"true",6,22,2,2,160,112,0.1176470588,19,19,12,12,12,14,19,13,7,18,7,7,10,54,7,18,7,7,10,54,2,"NA","NA","NA","NA","NA","NA",80.9523809524,55.5555555556,100,100,100,100,80.9523809524,55.5555555556,100,100,100,100,54,0.5925925926,0.8888888889,2.962962963,2.0740740741,5.037037037,54
"bt","codelet_1q1uztgi",111.017,201,"4.06879e+11",216217511068,"2.06415e+11",32003500000,"1.51247e+11",201,"1.83321e+11",111.017,110.873,1861.89,0.507312,2517.79,288.659,1364.15,"1.81321e-06",1652.66,4047540000,348737000,348735000,348736000,0.00994777,0.000857101,0.0861601,411827000,135866000,237.204,78.2562,315.46,35.0524,10251,"9.2417e-05",8950270000,5242320000,5130.94,3005.46,8136.4,908.29,345745500,130361500,0,344852000,0,274.4275,30.47085,0,0,0,1941.52,"1.09093e+11",75905900000,1.43721,1939.54,8950830000,0.0219987,1029310000,6727040,0.00252976,"1.65333e-05",0.0065355,395.294,5961470000,413403000,0.0146517,0.00101603,0.0693459,26763100,"6.57764e-05","y_solve_","41ed5f","/NPB3.0-SER/BT/y_solve.f","42-124",158,"true",1,"true",2,"medium",96,95,578,9,0,16,0,8,"x86,SD,PD-XMM,PS-XMM","NA",85,5,"NA","NA","NA",1,1,"true",34,53,0,0,256,808,0.1785714286,98,98,58,43,58,66,63,54,98,30,60,60,32,54,98,30,60,60,32,53,21,"NA","NA","NA","NA","NA","NA",95.0892857143,60,99.0099009901,100,100,100,95.0892857143,60,99.0099009901,100,100,100,63,1.4617940199,2.7301587302,6.7508305648,6.3492063492,8.1739130435,32
"sp","codelet_2v56b796",5.75167,401,4215960000,10686566912,10660800000,1018130000,16066400,401,1034200000,5.75167,5.72566,1861.91,2.52866,710.691,177.035,2.79367,"6.97283e-05",179.829,294642000,520283000,520284000,520285000,0.0698872,0.123408,1.76582,498816000,161774000,5552.67,1800.83,7353.5,42.2778,20451,0.00352664,516816500,254125000,5772.43,2838.39,8610.82,49.3401,520279500,238326500,0,520236000,0,8434.775,48.5508,0,0,0,356.864,2021300000,1010690000,1.99992,356.916,516819000,0.122586,287060000,3042880,0.0680888,0.000721752,0.0106002,14.6867,827333000,598720000,0.196238,0.142013,0.723675,9772260,0.00231792,"add_",416830,"/NPB3.0-SER/SP/add.f","20-22",207,"true",1,"true",8,"max",16,15,118,5,0,4,0,0,"PS-XMM,x86,PD-XMM","NA","NA",8,"NA",4,"NA","NA",2,"true",8,0,0,0,128,64,0.0416666667,"NA","NA","NA","NA",4,4,4,1,5,8,4,4,1,1,5,8,4,4,1,8,2,"NA","NA","NA","NA","NA","NA",100,100,100,100,"NA","NA",100,100,100,100,"NA","NA",8,1,2,16,8,24,"NA"
"mg","codelet_2xepi1y9",2.27649,168,7345320000,4231847920,4226760000,3354710000,22055400,169,3376770000,2.27649,2.27012,1861.91,0.575436,5905.99,1473.95,9.69058,"7.4225e-05",1483.64,213196000,101395000,101395000,101395000,0.0290247,0.013804,0.475594,204751000,4016590,5758.21,112.958,5871.17,13.3611,8568,0.00376369,248508500,61243000,6982.72,1722.23,8704.95,19.8113,101377500,50976200,0,101359500,0,4282.53,9.75064,0,0,0,2957.58,3214500000,615263000,5.2246,2956.46,248709000,0.0338595,61441700,132746,0.00836474,"1.80722e-05",0.00216052,119.549,507362000,211930000,0.0690729,0.0288525,0.41771,3115620,0.000424164,"psinv_","40bbf8","/NPB3.0-SER/MG/mg.f","520-531",130,"true",1,"true",8,"high",143,150,804,13,0,13,0,0,"x86,PS-XMM,PD-XMM,SD","NA",8,57,"NA",72,"NA",4.3333333333,1,"true",104,24,0,0,864,192,0.1212121212,51,51,36,36,36,51,51,12.6666666667,52,62,12,12,12.3333333333,12.6666666667,52,62,12,12,12.3333333333,62,2,"NA","NA","NA","NA","NA","NA",94.1605839416,87.0967741935,100,100,100,"NA",94.1605839416,87.0967741935,100,100,100,"NA",62,2.064516129,2.3064516129,13.935483871,3.0967741935,17.0322580645,58
"cg","codelet_3lkaf7j3",127.296,76,98149200000,249443797464,"2.36704e+11",34926400000,1323880000,78,36250300000,127.296,127.133,1861.92,2.41168,1107.81,274.36,10.3999,"6.1272e-07",284.76,"2.3701e+10",4983560000,4983560000,4983560000,0.24148,0.0507754,0.210268,28144100000,37195100,14147.2,18.6969,14165.9,1803.6,3876,"3.04486e-05",29912650000,77462800,15039.3,38.9462,15078.2,1919.37,4985120000,57038150,0,4984100000,0,2535.13,322.698,0,0,0,559.224,"6.6254e+10",356352000,185.923,559.119,29912700000,0.304767,4877480000,337396000,0.0496946,0.00343759,0.0691742,20.1229,30927600000,28264900000,0.315109,0.287979,0.913904,78083200,0.000795556,"conj_grad_","405de0","/NPB3.0-SER/CG/cg.f","594-595",66,"true",1,"true",8,"medium",7,6,99,7,0,9,0,0,"x86,SD","NA","NA","NA","NA","NA","NA",1,2,"true",8,8,0,0,256,64,0.125,"NA","NA","NA","NA",7,7,6,4.6666666667,4.3333333333,8,8,8,5,4.6666666667,4.3333333333,8,8,8,5,8,6,"NA","NA","NA","NA","NA","NA",75,66.6666666667,"NA",100,100,"NA",75,66.6666666667,"NA",100,100,"NA",8,3,2.9375,8,8,8,"NA"
"lu","codelet_5g6luxej",0.0305684,3,148204000,56806420,56728900,12007800,6004680,3,18012500,0.0305684,0.0304682,1861.88,0.382774,1766.835,392.281,196.165,"9.80062e-05",588.447,814744,1927740,1927750,1927760,0.00549746,0.0130074,2.36606,1944260,861,4071.55,1.80305,4073.35,0.124488,153,0.00500127,1934915,870,4050.92,1.82144,4052.74,0.123889,1927550,255049,0,1927330,0,4567.775,0.1396865,0,0,0,971.434,30274600,9092780,3.32952,982.444,1934930,0.0130559,19562000,30937,0.131994,0.000208747,0.00158149,7.57611,3789320,1946100,0.0255683,0.0131313,0.513576,30925,0.000208666,"l2norm_","414fc0","/NPB3.0-SER/LU/l2norm.f","45-46",141,"true",1,"true",4,"max",11,10,53,4,0,2,0,0,"PS-XMM,PD-XMM,x86","NA","NA",4,"NA",4,"NA",1,2,"true",4,4,0,0,64,32,0.0833333333,"NA","NA","NA","NA",3,3,3,2,2,4,2,2,2,2,2,4,2,2,2,4,2,"NA","NA","NA","NA","NA","NA",100,100,100,100,100,"NA",100,100,100,100,100,"NA",4,2,2.75,16,8,24,"NA"
"cg","codelet_77bv9i9o",5.06662,76,3868380000,9927152252,"9.421e+09",1365470000,52586800,76,1418060000,5.06662,5.05989,1861.92,2.43539,1088.565,269.522,10.3806,"1.50024e-05",279.903,943191000,197361000,197361000,197361000,0.243821,0.051019,0.209248,1122890000,773563,14177.6,9.76699,14187.3,71.9143,3876,0.000764972,1190800000,967191,15041.9,12.2173,15054.1,76.2734,197391500,2220265,0,197350500,0,2521.53,12.77515,0,0,0,549.407,2627400000,5725360,458.905,549.425,1190800000,0.30783,192991000,13481100,0.0498894,0.00348494,0.0698533,20.0443,1225500000,1125910000,0.3168,0.291054,0.91873,3082810,0.000796927,"conj_grad_","405f58","/NPB3.0-SER/CG/cg.f","609-610",49,"true",1,"true",8,"max",27,30,152,7,0,6,0,0,"SD,x86,PD-XMM","NA",4,"NA","NA",12,"NA",1,1,"true",8,8,0,0,160,0,0.1,10,10,7,7,7,7,10,4.6666666667,4.3333333333,20,0,0,5,4.6666666667,4.3333333333,20,0,0,5,20,6,"NA","NA","NA","NA","NA","NA",75,66.6666666667,"NA",100,100,"NA",75,66.6666666667,"NA",100,100,"NA",20,0.8,1.35,8,0,8,18
"sp","codelet_7hw4mhgq",0.0341614,2,50309400,63489832,38987400,0,20,2,26,0.0341614,0.0209402,1861.96,0.774982,0.0005853415,0,0.000585149,"5.85149e-05",0.000760694,1485260,1371380,1371380,1371390,0.0295226,0.027259,0.923326,671790,161982,1256.77,303.031,1559.8,0.0533614,102,0.00298694,672750.5,670321,1258.33,1253.68,2512.01,0.0859604,724867,1260440,0,1370030,0,3719.87,0.1270595,0,0,0,0.000584745,5338530,10623300,0.502531,0.000585534,672690,0.0133711,6462440,69015,0.128454,0.00137181,0.0106794,7.78489,719147,716215,0.0142945,0.0142362,0.995923,43268,0.000860039,"initialize_","403e4d","/NPB3.0-SER/SP/initialize.f","29-30",29,"true",1,"true",2,"high",8,9,38,4,0,1,0,0,"FP-XMM,x86,PD-XMM","NA","NA","NA","NA",2,"NA","NA",2,"true",0,0,0,0,8,16,0,"NA","NA","NA","NA",2,1,2,1.6666666667,1.3333333333,1,2,2,3,1.6666666667,1.3333333333,1,2,2,3,3,2,"NA","NA","NA","NA","NA","NA",100,100,100,"NA","NA","NA",100,100,100,"NA","NA","NA",3,0,2.6666666667,2.6666666667,5.3333333333,8,"NA"
"lu","codelet_7ztudex2",0.0180867,1,4587760,34742164,9418490,0,10,1,13,0.0180867,0.00505934,1862.16,2.05325,0.000552823,0,0.000552892,"5.52892e-05",0.00071876,773236,694973,694975,694977,0.168543,0.151484,0.898785,705,316,2.49053,1.11632,3.60686,"6.5344e-05",51,0.00282811,1865,1920,7.49265,6.76346,14.2561,0.000259008,50207.5,649478.5,0,695313,0,2478.515,0.0447799,0,0,0,0.000553342,136452,2711330,0.0503266,0.000552892,1603,0.000349408,500313,24894,0.109054,0.00542617,0.0497569,9.16979,1597,707,0.0003481,0.000154106,0.442705,32655,0.00711785,"erhs_","40cb4b","/NPB3.0-SER/LU/erhs.f","37-39",62,"true",1,"true",8,"max",8,7,33,5,0,1,0,0,"x86,PS-XMM","NA","NA",4,"NA","NA","NA","NA",2,"true",0,0,0,0,0,64,0,"NA","NA","NA","NA",2,2,2,1,1,0,4,4,1,1,1,0,4,4,1,4,2,"NA","NA","NA","NA","NA","NA",100,"NA",100,"NA","NA","NA",100,"NA",100,"NA","NA","NA",4,0,2,0,16,16,"NA"
"mg","codelet_9guj5g8w",0.0674451,2,33556000,122890828,125022000,0,20,2,26,0.0674451,0.0671466,1861.91,3.72576,0.0002972605,0,0.000297165,"2.97165e-05",0.000386315,4726990,4338710,4338720,4338720,0.140869,0.129298,0.917861,4055540,3395830,3853.95,3227.04,7080.99,0.476888,102,0.00151211,4303500,4291350,4075.62,4064.12,8139.74,0.550069,4316610,3911410,0,4340180,0,7823.175,0.5265935,0,0,0,0.000296835,1467050,17574100,0.0834782,0.000297356,4303520,0.128249,4394670,4862,0.130965,0.000144892,0.00110634,7.6356,3745520,5073900,0.11162,0.151207,1.35466,98398,0.00293236,"zran3_","41039c","/NPB3.0-SER/MG/mg.f","1164-1164",169,"true",1,"true",1,"NA",4,3,12,4,0,0,0,0,"x86","NA","NA","NA","NA","NA","NA","NA",2,"true",0,0,0,0,0,8,0,"NA","NA","NA","NA",1,1,1,0.6666666667,0.3333333333,0,1,1,1,0.6666666667,0.3333333333,0,1,1,1,1,2,0,"NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"NA",0,"NA","NA","NA",2,0,2,0,4,4,1
"bt","codelet_9salavfj",114.668,201,"4.06491e+11",221118212212,"2.13204e+11",31946400000,"1.51307e+11",201,"1.83247e+11",114.668,114.511,1861.89,0.524498,2435.51,278.844,1320.52,"1.75477e-06",1599.47,4887420000,318869000,318868000,318869000,0.0120234,0.000784442,0.0652429,885721000,223254000,495.481,124.891,620.372,70.9744,10251,"8.95097e-05",9368355000,5213570000,5179.63,2883.08,8062.71,933.125,318500000,128898000,0,317576500,0,249.3205,28.63345,0,0,0,1878.43,"1.09298e+11",75809400000,1.44175,1878.63,9370210000,0.0230514,1029300000,6188680,0.00253216,"1.52246e-05",0.00601252,394.92,7586010000,980253000,0.0186622,0.0024115,0.129219,389388000,0.000957925,"z_solve_","426da3","/NPB3.0-SER/BT/z_solve.f","42-124",167,"true",1,"true",2,"medium",96,95,578,8,0,16,0,8,"x86,SD,PD-XMM,PS-XMM","NA",85,5,"NA","NA","NA",1,1,"true",34,250,2,0,272,800,0.1785714286,98,98,57,276,57,70,37,54,98,30,60,60,301,54,98,30,60,60,301,301,21,"NA","NA","NA","NA","NA","NA",96.3963963964,68,100,100,100,100,96.3963963964,68,100,100,100,100,37,1.4617940199,2.5991189427,6.7508305648,5.8823529412,8.3171806167,301
"lu","codelet_a5i9q5oc",49.2564,25000,"1.06752e+11",91655587240,91521100000,0,"6.026e+10",25001,60260100000,49.2564,49.1541,1861.88,0.857323,1222.635,0,1223.29,0.000507568,1223.29,4364960000,106497000,106502000,106501000,0.0408889,0.000997618,0.0243982,2745600000,23262300,3575.22,30.2913,3605.51,177.207,1275000,0.0258507,2900805000,331386000,3777.35,431.464,4208.81,206.885,97132150,57473300,0,97224400,0,200.76985,9.894745,0,0,0,1223.29,36331200000,7340640000,4.94932,1221.67,2900410000,0.0271696,266387000,2551780,0.00249539,"2.39039e-05",0.00957921,400.739,5551740000,2780600000,0.0520062,0.0260474,0.500851,44657100,0.000418327,"blts_",419079,"/NPB3.0-SER/LU/blts.f","73-243",149,"true",1,"true","1 or NA","max",424,423,2497,16,0,16,0,21,"SD,x86,PS-XMM","NA",348,31,"NA","NA","NA",0.8771929825,1,"true",100,114,9,0,1160,232,0.1602011494,157,157,106,106,106,149,157,123,100,145,29,29,61,198,100,145,29,29,61,198,160,0,0,0,"NA","NA","NA",8.1794195251,0,0,0,0,77.5,8.0310880829,0,0,0,0,77.5,198,1.1262626263,2.1414141414,5.8585858586,1.1717171717,7.0303030303,99
"cg","codelet_ah8c616d",0.0161976,1,28176500,26743500,30089100,0,10,1,13,0.0161976,0.016161,1861.91,1.06788,0.000618541,0,0.000617853,"6.17853e-05",0.000803208,919258,866070,866071,866072,0.032625,0.0307373,0.94214,864032,319397,3406.56,1259.27,4665.83,0.0757395,51,0.00315307,863324,856331,3404.13,3376.56,6780.69,0.110058,866392.5,764507.5,0,866257,0,6429.325,0.104378,0,0,0,0.00061609,3746820,3596600,1.04177,0.000617853,863327,0.0306399,4159580,168436,0.147626,0.00597789,0.0404935,6.77388,1613190,988210,0.0572528,0.0350721,0.612583,15078,0.000535126,"MAIN__","403fae","/NPB3.0-SER/CG/cg.f","195-196",17,"true",1,"true",4,"max",7,6,35,3,0,3,0,0,"INTD-XMM,x86,INT-XMM","NA","NA","NA","NA","NA","NA","NA",2,"true",0,0,0,0,16,16,0,"NA","NA","NA","NA",2,2,2,1.5,1,1,1,1,1.5,1.5,1,1,1,1,1.5,1.5,2,100,100,100,100,"NA","NA","NA","NA","NA","NA","NA","NA",100,100,100,100,"NA","NA",2,0,3.5,8,8,16,"NA"
